model,task,n_cells,mean_turns,mean_tool_calls,mean_latency_ms,mean_tokens_in,mean_tokens_out,mean_cost_usd
glm-5.1-cloud,code-find-and-fix-bug,8,5.000,4.000,21779.8,5280.2,143.9,
glm-5.1-cloud,code-read-and-explain,8,3.000,2.000,15113.0,2473.6,177.2,
glm-5.1-cloud,code-write-and-execute,8,3.000,2.000,15949.5,1535.0,96.4,
glm-5.1-cloud,fs-grep-extract-and-write,8,3.000,2.000,10971.6,2334.0,93.1,
glm-5.1-cloud,fs-read-and-copy,8,3.000,2.000,16179.1,1670.0,87.6,
glm-5.1-cloud,fs-write-csv-summary,8,3.000,2.000,17205.0,1716.0,105.9,
glm-5.1-cloud,http-fetch-and-count,8,4.000,3.000,21306.8,3962.5,343.1,
glm-5.1-cloud,http-fetch-and-extract,8,2.000,1.000,16361.4,1338.9,455.2,
glm-5.1-cloud,multi-db-self-check,8,4.000,3.000,13625.9,2999.5,157.4,
glm-5.1-cloud,multi-words-and-hash,8,3.000,3.000,19984.0,2423.0,273.1,
glm-5.1-cloud,shell-count-lines,8,3.000,2.000,18043.2,1603.0,81.9,
glm-5.1-cloud,shell-pipeline-extract,8,3.000,2.000,16086.1,2233.2,99.6,
gpt-oss-120b-cloud,code-find-and-fix-bug,8,5.250,4.250,11548.1,4688.5,291.4,
gpt-oss-120b-cloud,code-read-and-explain,8,3.000,2.000,10786.5,2026.6,213.4,
gpt-oss-120b-cloud,code-write-and-execute,8,3.000,2.000,7952.1,1254.5,141.1,
gpt-oss-120b-cloud,fs-grep-extract-and-write,8,4.000,3.000,10055.8,2658.2,226.6,
gpt-oss-120b-cloud,fs-read-and-copy,8,3.000,2.000,8491.5,1405.0,130.9,
gpt-oss-120b-cloud,fs-write-csv-summary,8,3.000,2.000,9144.5,1455.0,158.6,
gpt-oss-120b-cloud,http-fetch-and-count,8,3.000,2.000,9304.5,2206.8,185.8,
gpt-oss-120b-cloud,http-fetch-and-extract,8,3.750,3.000,20652.6,3210.8,1042.5,
gpt-oss-120b-cloud,multi-db-self-check,8,3.500,2.500,10114.2,2140.0,230.2,
gpt-oss-120b-cloud,multi-words-and-hash,8,4.250,3.250,12149.9,2877.6,338.4,
gpt-oss-120b-cloud,shell-count-lines,8,3.000,2.000,8153.0,1322.8,162.5,
gpt-oss-120b-cloud,shell-pipeline-extract,8,3.000,2.000,8174.6,1821.6,180.6,
gpt-oss-20b-cloud,code-find-and-fix-bug,8,4.625,3.625,8908.2,3983.5,231.2,
gpt-oss-20b-cloud,code-read-and-explain,8,3.000,2.000,7447.2,2026.4,274.6,
gpt-oss-20b-cloud,code-write-and-execute,8,3.125,2.125,7179.5,1334.6,170.5,
gpt-oss-20b-cloud,fs-grep-extract-and-write,8,4.000,3.000,8146.9,2660.0,277.5,
gpt-oss-20b-cloud,fs-read-and-copy,8,3.000,2.000,7103.5,1402.0,153.1,
gpt-oss-20b-cloud,fs-write-csv-summary,8,3.000,2.000,7245.5,1455.0,193.8,
gpt-oss-20b-cloud,http-fetch-and-count,8,3.000,2.000,7223.8,2207.8,187.6,
gpt-oss-20b-cloud,http-fetch-and-extract,8,2.875,1.875,8819.0,2061.8,659.9,
gpt-oss-20b-cloud,multi-db-self-check,8,4.000,3.125,8972.1,2586.1,470.2,
gpt-oss-20b-cloud,multi-words-and-hash,8,4.000,3.000,9224.1,2633.2,458.0,
gpt-oss-20b-cloud,shell-count-lines,8,3.000,2.000,7092.4,1321.8,169.1,
gpt-oss-20b-cloud,shell-pipeline-extract,8,3.000,2.000,7547.9,1821.8,297.5,
llama3.1-8b-q4,code-find-and-fix-bug,8,1.000,0.000,13884.8,780.0,429.0,
llama3.1-8b-q4,code-read-and-explain,8,2.000,2.000,18049.8,933.0,71.0,
llama3.1-8b-q4,code-write-and-execute,8,2.000,2.000,17980.8,640.0,68.0,
llama3.1-8b-q4,fs-grep-extract-and-write,8,2.000,3.000,16433.2,939.0,91.0,
llama3.1-8b-q4,fs-read-and-copy,8,2.000,2.000,18099.1,691.0,66.0,
llama3.1-8b-q4,fs-write-csv-summary,8,2.000,3.000,17683.2,792.0,95.0,
llama3.1-8b-q4,http-fetch-and-count,8,2.000,1.000,20383.0,999.1,298.9,
llama3.1-8b-q4,http-fetch-and-extract,8,2.000,2.000,14656.8,839.0,67.0,
llama3.1-8b-q4,multi-db-self-check,8,2.000,3.000,18185.6,993.0,137.0,
llama3.1-8b-q4,multi-words-and-hash,8,2.000,3.000,19774.4,981.0,119.0,
llama3.1-8b-q4,shell-count-lines,8,2.000,2.000,22670.8,668.0,65.0,
llama3.1-8b-q4,shell-pipeline-extract,8,2.000,3.000,21478.4,907.0,97.0,
qwen3-14b-q4,code-find-and-fix-bug,8,4.000,3.000,37675.5,3721.0,125.0,
qwen3-14b-q4,code-read-and-explain,8,3.000,2.000,29633.6,2261.0,99.0,
qwen3-14b-q4,code-write-and-execute,8,2.000,2.000,17478.6,935.0,77.0,
qwen3-14b-q4,fs-grep-extract-and-write,8,3.000,2.000,26369.0,2144.0,82.0,
qwen3-14b-q4,fs-read-and-copy,8,3.000,2.000,25460.0,1570.0,72.0,
qwen3-14b-q4,fs-write-csv-summary,8,3.000,2.000,25146.1,1628.0,69.0,
qwen3-14b-q4,http-fetch-and-count,8,2.000,2.000,19139.9,1363.0,74.0,
qwen3-14b-q4,http-fetch-and-extract,8,3.000,2.000,28535.2,1695.0,76.0,
qwen3-14b-q4,multi-db-self-check,8,5.000,4.000,95333.0,3818.0,218.0,
qwen3-14b-q4,multi-words-and-hash,8,4.000,3.000,35445.5,3010.0,178.0,
qwen3-14b-q4,shell-count-lines,8,2.000,2.000,15888.2,977.0,72.0,
qwen3-14b-q4,shell-pipeline-extract,8,2.000,2.000,18918.4,1355.0,80.0,
