model,tool,attempts,errors,success_rate
<all>,fs_grep,88,16,0.818182
<all>,fs_read,244,16,0.934426
<all>,fs_write,444,1,0.997748
<all>,http_fetch,99,2,0.979798
<all>,python_eval,137,2,0.985401
<all>,shell_exec,114,2,0.982456
qwen3-14b-q4,fs_grep,16,0,1.000000
qwen3-14b-q4,fs_read,40,0,1.000000
qwen3-14b-q4,fs_write,96,0,1.000000
qwen3-14b-q4,http_fetch,16,0,1.000000
qwen3-14b-q4,python_eval,32,0,1.000000
qwen3-14b-q4,shell_exec,24,0,1.000000
llama3.1-8b-q4,fs_grep,8,0,1.000000
llama3.1-8b-q4,fs_read,64,16,0.750000
llama3.1-8b-q4,fs_write,80,0,1.000000
llama3.1-8b-q4,http_fetch,16,0,1.000000
llama3.1-8b-q4,python_eval,24,0,1.000000
llama3.1-8b-q4,shell_exec,16,0,1.000000
gpt-oss-20b-cloud,fs_grep,24,8,0.666667
gpt-oss-20b-cloud,fs_read,45,0,1.000000
gpt-oss-20b-cloud,fs_write,89,0,1.000000
gpt-oss-20b-cloud,http_fetch,21,0,1.000000
gpt-oss-20b-cloud,python_eval,27,0,1.000000
gpt-oss-20b-cloud,shell_exec,24,0,1.000000
glm-5.1-cloud,fs_grep,16,0,1.000000
glm-5.1-cloud,fs_read,48,0,1.000000
glm-5.1-cloud,fs_write,88,0,1.000000
glm-5.1-cloud,http_fetch,16,0,1.000000
glm-5.1-cloud,python_eval,32,0,1.000000
glm-5.1-cloud,shell_exec,24,0,1.000000
gpt-oss-120b-cloud,fs_grep,24,8,0.666667
gpt-oss-120b-cloud,fs_read,47,0,1.000000
gpt-oss-120b-cloud,fs_write,91,1,0.989011
gpt-oss-120b-cloud,http_fetch,30,2,0.933333
gpt-oss-120b-cloud,python_eval,22,2,0.909091
gpt-oss-120b-cloud,shell_exec,26,2,0.923077
