alpha,k,query_idx,question,origin_chunk_id,hit_rank,recall_at_1,recall_at_3,recall_at_5,recall_at_10,mrr10,ndcg_at_k
0.0,5,0,Are there any exceptions to the rule that `+=` is undefined in POSIX sh?,01KSHSND66G6AE7M0BECZKREST,0,0,0,0,0,0.000000,0.000000
0.0,5,1,SC2104.md,01KSHSND80A396HJ701A2TB9FW,1,1,1,1,1,1.000000,1.000000
0.0,5,2,How do I determine whether a variable is already defined? Or a function?,01KSHSND029K1S14CP1FHQTEH9,1,1,1,1,1,1.000000,1.000000
0.0,5,3,how to fetch ssh hostkeys and add to known_hosts without interaction,01KSHSND2RCY7CHWM7FA7WZB97,1,1,1,1,1,1.000000,1.000000
0.0,5,4,Why is ${$x} invalid in shell scripts and how to correctly use variable expansion and indirection?,01KSHSND6N5MGRV3JHMRAV4WG0,0,0,0,0,0,0.000000,0.000000
0.5,5,0,Are there any exceptions to the rule that `+=` is undefined in POSIX sh?,01KSHSND66G6AE7M0BECZKREST,0,0,0,0,0,0.000000,0.000000
0.5,5,1,SC2104.md,01KSHSND80A396HJ701A2TB9FW,1,1,1,1,1,1.000000,1.000000
0.5,5,2,How do I determine whether a variable is already defined? Or a function?,01KSHSND029K1S14CP1FHQTEH9,1,1,1,1,1,1.000000,1.000000
0.5,5,3,how to fetch ssh hostkeys and add to known_hosts without interaction,01KSHSND2RCY7CHWM7FA7WZB97,1,1,1,1,1,1.000000,1.000000
0.5,5,4,Why is ${$x} invalid in shell scripts and how to correctly use variable expansion and indirection?,01KSHSND6N5MGRV3JHMRAV4WG0,0,0,0,0,0,0.000000,0.000000
