model,task,condition,n_cells,mean_kb_query_calls,min_kb_query_calls
qwen3-14b-q4,rag-bash-cite-section-for-arrays,with-kb,4,1.00,1
qwen3-14b-q4,rag-bash-cite-section-for-arrays,without-kb,4,0.00,0
qwen3-14b-q4,rag-bash-compare-test-bracket,with-kb,4,1.00,1
qwen3-14b-q4,rag-bash-compare-test-bracket,without-kb,4,0.00,0
qwen3-14b-q4,rag-bash-faithful-answer-shopt,with-kb,4,1.00,1
qwen3-14b-q4,rag-bash-faithful-answer-shopt,without-kb,4,0.00,0
qwen3-14b-q4,rag-bash-for-loop-recall,with-kb,4,2.00,1
qwen3-14b-q4,rag-bash-for-loop-recall,without-kb,4,0.00,0
qwen3-14b-q4,rag-bash-param-expansion-forms,with-kb,4,2.00,2
qwen3-14b-q4,rag-bash-param-expansion-forms,without-kb,4,0.00,0
qwen3-14b-q4,rag-bash-redirection-operator,with-kb,4,1.00,1
qwen3-14b-q4,rag-bash-redirection-operator,without-kb,4,0.00,0
llama3.1-8b-q4,rag-bash-cite-section-for-arrays,with-kb,4,1.00,1
llama3.1-8b-q4,rag-bash-cite-section-for-arrays,without-kb,4,0.00,0
llama3.1-8b-q4,rag-bash-compare-test-bracket,with-kb,4,1.50,1
llama3.1-8b-q4,rag-bash-compare-test-bracket,without-kb,4,0.00,0
llama3.1-8b-q4,rag-bash-faithful-answer-shopt,with-kb,4,0.00,0
llama3.1-8b-q4,rag-bash-faithful-answer-shopt,without-kb,4,0.00,0
llama3.1-8b-q4,rag-bash-for-loop-recall,with-kb,4,2.50,2
llama3.1-8b-q4,rag-bash-for-loop-recall,without-kb,4,0.00,0
llama3.1-8b-q4,rag-bash-param-expansion-forms,with-kb,4,2.00,2
llama3.1-8b-q4,rag-bash-param-expansion-forms,without-kb,4,0.00,0
llama3.1-8b-q4,rag-bash-redirection-operator,with-kb,4,1.00,1
llama3.1-8b-q4,rag-bash-redirection-operator,without-kb,4,0.00,0
gpt-oss-20b-cloud,rag-bash-cite-section-for-arrays,with-kb,4,0.75,0
gpt-oss-20b-cloud,rag-bash-cite-section-for-arrays,without-kb,4,0.75,0
gpt-oss-20b-cloud,rag-bash-compare-test-bracket,with-kb,4,1.00,1
gpt-oss-20b-cloud,rag-bash-compare-test-bracket,without-kb,4,0.00,0
gpt-oss-20b-cloud,rag-bash-faithful-answer-shopt,with-kb,4,1.00,1
gpt-oss-20b-cloud,rag-bash-faithful-answer-shopt,without-kb,4,3.25,2
gpt-oss-20b-cloud,rag-bash-for-loop-recall,with-kb,4,1.00,1
gpt-oss-20b-cloud,rag-bash-for-loop-recall,without-kb,4,0.75,0
gpt-oss-20b-cloud,rag-bash-param-expansion-forms,with-kb,4,1.50,0
gpt-oss-20b-cloud,rag-bash-param-expansion-forms,without-kb,4,0.75,0
gpt-oss-20b-cloud,rag-bash-redirection-operator,with-kb,4,0.75,0
gpt-oss-20b-cloud,rag-bash-redirection-operator,without-kb,4,0.00,0
glm-5.1-cloud,rag-bash-cite-section-for-arrays,with-kb,4,1.00,1
glm-5.1-cloud,rag-bash-cite-section-for-arrays,without-kb,4,0.00,0
glm-5.1-cloud,rag-bash-compare-test-bracket,with-kb,4,3.00,3
glm-5.1-cloud,rag-bash-compare-test-bracket,without-kb,4,0.00,0
glm-5.1-cloud,rag-bash-faithful-answer-shopt,with-kb,4,2.00,2
glm-5.1-cloud,rag-bash-faithful-answer-shopt,without-kb,4,0.00,0
glm-5.1-cloud,rag-bash-for-loop-recall,with-kb,4,2.50,2
glm-5.1-cloud,rag-bash-for-loop-recall,without-kb,4,0.00,0
glm-5.1-cloud,rag-bash-param-expansion-forms,with-kb,4,3.00,3
glm-5.1-cloud,rag-bash-param-expansion-forms,without-kb,4,0.00,0
glm-5.1-cloud,rag-bash-redirection-operator,with-kb,4,1.00,1
glm-5.1-cloud,rag-bash-redirection-operator,without-kb,4,0.00,0
gpt-oss-120b-cloud,rag-bash-cite-section-for-arrays,with-kb,4,1.00,1
gpt-oss-120b-cloud,rag-bash-cite-section-for-arrays,without-kb,4,2.00,0
gpt-oss-120b-cloud,rag-bash-compare-test-bracket,with-kb,4,1.75,1
gpt-oss-120b-cloud,rag-bash-compare-test-bracket,without-kb,4,0.50,0
gpt-oss-120b-cloud,rag-bash-faithful-answer-shopt,with-kb,4,1.50,1
gpt-oss-120b-cloud,rag-bash-faithful-answer-shopt,without-kb,4,2.25,2
gpt-oss-120b-cloud,rag-bash-for-loop-recall,with-kb,4,1.00,1
gpt-oss-120b-cloud,rag-bash-for-loop-recall,without-kb,4,2.00,0
gpt-oss-120b-cloud,rag-bash-param-expansion-forms,with-kb,4,2.00,2
gpt-oss-120b-cloud,rag-bash-param-expansion-forms,without-kb,4,4.50,0
gpt-oss-120b-cloud,rag-bash-redirection-operator,with-kb,4,1.00,1
gpt-oss-120b-cloud,rag-bash-redirection-operator,without-kb,4,0.75,0
